#{"t_start": 1762600180.497511, "env_id": "None"}
r,l,t
-1.0,13,1.37378
-1.0,6,1.381744
-2.0,18,1.404616
-2.0,16,1.424172
1.0,15,1.446212
-1.0,10,1.459122
1.0,7,1.468376
0.0,12,1.482161
0.0,13,1.497433
1.0,6,1.503911
-6.0,23,1.520259
-1.0,10,1.534609
1.0,16,1.554544
-1.0,16,1.573975
1.0,9,1.58464
0.0,21,1.603926
-1.0,10,1.618568
-1.0,11,1.6348
-1.0,12,1.653851
0.0,15,1.676802
1.0,12,1.694939
0.0,17,1.714218
1.0,13,1.73131
1.0,10,1.743191
-1.0,15,1.762613
1.0,15,1.782114
1.0,12,1.798199
1.0,9,1.81039
-4.0,20,1.831894
-1.0,6,1.839758
1.0,11,1.855506
-1.0,8,1.868804
1.0,6,1.881114
-1.0,11,1.897465
1.0,9,1.91021
-1.0,10,1.923016
0.0,14,1.940205
0.0,16,1.959138
1.0,12,1.974353
1.0,5,1.980316
1.0,10,1.996022
-3.0,19,2.015915
-2.0,18,2.034673
-1.0,6,2.04369
1.0,11,2.060958
-1.0,15,2.077848
1.0,5,2.084162
-2.0,15,2.100209
-1.0,7,2.11176
1.0,9,2.123092
1.0,10,2.136338
1.0,12,2.15265
1.0,7,2.163694
1.0,10,2.175927
1.0,8,2.186745
1.0,12,2.200934
-1.0,9,2.214931
-1.0,11,2.228888
1.0,5,2.235541
-1.0,5,2.243237
-4.0,21,2.26533
1.0,7,2.275495
-1.0,9,2.287416
-1.0,6,2.296402
-1.0,15,2.318757
-1.0,9,2.330376
1.0,14,2.348613
1.0,12,2.364472
-3.0,17,2.390322
-7.0,24,2.409902
1.0,10,2.423708
-1.0,4,2.429021
1.0,6,2.476717
1.0,14,2.505319
1.0,6,2.512223
-2.0,14,2.529232
-1.0,6,2.539571
-1.0,18,2.56004
-1.0,11,2.576005
-8.0,25,2.596093
0.0,10,2.610632
-4.0,21,2.630497
1.0,6,2.637869
1.0,6,2.64546
1.0,7,2.658833
1.0,8,2.66958
-2.0,14,2.706747
1.0,8,2.722264
1.0,10,2.744371
1.0,11,2.772042
1.0,10,2.792769
-1.0,11,2.820403
1.0,15,2.857819
-1.0,16,2.895058
-1.0,11,2.925587
-1.0,11,2.951005
-1.0,5,2.963365
-1.0,8,2.984814
-1.0,10,3.007602
1.0,6,3.018688
1.0,13,3.046832
1.0,9,3.064926
1.0,13,3.09554
1.0,5,3.104229
1.0,11,3.167225
1.0,6,3.186913
-1.0,11,3.214126
-2.0,17,3.251258
-1.0,10,3.279841
-1.0,12,3.312629
-1.0,10,3.3375
-2.0,14,3.369217
-1.0,8,3.393642
-5.0,23,3.441329
1.0,12,3.473557
1.0,6,3.491499
1.0,12,3.548457
-1.0,11,3.602176
0.0,19,3.637688
-1.0,8,3.659851
1.0,10,3.68924
1.0,7,3.708257
-1.0,14,3.741348
1.0,5,3.751806
0.0,16,3.794723
-1.0,14,3.843058
1.0,11,3.875223
-1.0,10,3.903673
1.0,7,3.923508
-1.0,8,3.9449
1.0,11,3.974933
-1.0,13,4.007267
-7.0,21,4.051258
1.0,15,4.090232
-4.0,17,4.127793
0.0,14,4.158594
-1.0,7,4.176118
1.0,15,4.211959
-1.0,9,4.231831
-1.0,8,4.253976
-1.0,13,4.290447
-1.0,11,4.318007
-1.0,9,4.379264
-1.0,14,4.42365
1.0,13,4.455909
0.0,17,4.49751
1.0,6,4.512087
1.0,9,4.531896
-1.0,10,4.562459
1.0,9,4.586235
-1.0,10,4.612091
1.0,6,4.625018
1.0,11,4.657226
-1.0,17,4.699766
-1.0,15,4.739427
-5.0,23,4.782836
1.0,4,4.793889
1.0,6,4.80732
-1.0,8,4.826447
-1.0,7,4.843814
1.0,12,4.871623
1.0,7,4.885056
-1.0,8,4.906719
-1.0,9,4.928952
-1.0,11,4.957969
-1.0,8,4.977268
-1.0,7,4.995414
1.0,8,5.013277
1.0,5,5.029185
-2.0,17,5.065521
-1.0,13,5.097961
-3.0,20,5.141146
-1.0,8,5.1656
0.0,14,5.198959
-1.0,15,5.233892
-1.0,17,5.292635
1.0,8,5.31582
1.0,12,5.346895
0.0,11,5.369688
1.0,12,5.399893
1.0,14,5.440073
-4.0,17,5.475847
1.0,10,5.505895
-1.0,4,5.519709
-5.0,25,5.564553
-2.0,17,5.594834
-2.0,16,5.635493
-1.0,7,5.655984
-3.0,12,5.68657
-1.0,8,5.707229
-1.0,12,5.73224
1.0,7,5.746911
1.0,12,5.776446
1.0,11,5.801526
1.0,10,5.823937
1.0,9,5.846874
1.0,7,5.863006
-5.0,20,5.900977
-1.0,10,5.926963
-1.0,6,5.943738
-1.0,10,5.966974
-2.0,18,6.007723
1.0,13,6.043108
1.0,8,6.060592
-1.0,7,6.081712
-1.0,17,6.118224
-1.0,13,6.147141
-1.0,6,6.164281
1.0,7,6.186405
-6.0,20,6.226856
1.0,11,6.255565
-1.0,11,6.288133
1.0,10,6.315563
-4.0,18,6.351998
-5.0,21,6.389391
1.0,12,6.417228
1.0,11,6.445981
-1.0,14,6.477368
-1.0,5,6.490789
1.0,7,6.511093
-1.0,5,6.525751
1.0,12,6.556043
-1.0,6,6.597374
1.0,5,6.626656
1.0,6,6.644109
1.0,12,6.671294
1.0,11,6.696633
-1.0,15,6.731791
-1.0,10,6.757151
-1.0,14,6.792914
1.0,8,6.815156
-1.0,13,6.845694
1.0,10,6.871976
-1.0,15,6.90943
-1.0,14,6.93983
-1.0,9,6.959596
1.0,8,6.979905
-2.0,16,7.016358
1.0,11,7.039815
-2.0,12,7.063028
-2.0,13,7.143816
-1.0,10,7.171304
-1.0,7,7.190481
1.0,9,7.212316
1.0,10,7.242346
1.0,12,7.274929
-1.0,9,7.303047
-3.0,19,7.363025
-2.0,19,7.410758
-1.0,13,7.443779
-1.0,12,7.480982
-1.0,10,7.508993
1.0,9,7.539087
-1.0,13,7.572968
-1.0,6,7.592912
-1.0,12,7.635393
-2.0,17,7.68098
1.0,9,7.709182
1.0,12,7.74802
1.0,7,7.766675
1.0,11,7.7929
1.0,10,7.823814
1.0,12,7.858559
0.0,17,7.905158
0.0,13,7.939474
-1.0,10,7.970364
-1.0,9,7.992829
1.0,9,8.016109
-10.0,26,8.070029
0.0,18,8.113437
1.0,17,8.157714
-1.0,4,8.168032
-1.0,11,8.196158
1.0,12,8.230073
1.0,10,8.258943
0.0,18,8.29856
1.0,11,8.329104
-3.0,12,8.357508
-2.0,13,8.389247
-3.0,20,8.437441
-2.0,11,8.463952
-1.0,9,8.487305
0.0,19,8.532501
1.0,10,8.560659
1.0,8,8.582123
-3.0,19,8.61763
-1.0,6,8.634395
1.0,11,8.667351
