#{"t_start": 1762603494.1032178, "env_id": "None"}
r,l,t
-0.14,11,0.084992
2.65,13,0.12444
0.26,11,0.161623
0.65,14,0.205697
3.28,13,0.253006
0.58,10,0.289613
3.37,13,0.335209
1.04,14,0.377128
0.08,8,0.406659
1.38,13,0.45121
0.63,16,0.498759
0.26,11,0.532491
1.57,14,0.57143
0.17,10,0.603066
1.78,15,0.651814
3.27,14,0.695293
0.97,14,0.74715
-0.14,10,0.782256
2.17,10,0.81909
0.67,11,0.853065
1.56,14,0.895887
1.69,13,0.942447
2.95,19,1.005331
0.55,16,1.056087
1.75,18,1.107279
2.68,10,1.143812
0.84,15,1.194066
3.38,10,1.228251
1.07,12,1.272241
-0.42,6,1.295482
2.96,16,1.353336
0.47,10,1.38462
0.77,13,1.422689
-0.02,7,1.44496
0.36,12,1.484743
1.76,15,1.534788
1.29,12,1.576051
1.48,13,1.611141
0.75,13,1.653511
0.68,10,1.686084
2.88,10,1.718559
2.66,16,1.775042
1.64,17,1.828167
0.28,10,1.864337
1.64,11,1.898278
0.45,11,1.930623
0.45,11,1.969277
2.56,13,2.009264
1.49,4,2.027766
1.29,12,2.061866
0.46,10,2.095283
0.09,7,2.120843
0.84,15,2.16375
1.77,16,2.212954
1.65,18,2.262688
0.99,9,2.293035
-0.04,9,2.325636
2.88,10,2.3596
2.78,11,2.395266
-0.12,8,2.421155
1.54,19,2.473746
-0.02,9,2.501376
1.35,17,2.606259
2.95,15,2.656433
0.09,7,2.681348
2.64,17,2.723558
2.07,15,2.772076
2.27,10,2.798342
2.17,14,2.854483
1.37,15,2.900708
1.68,7,2.917364
0.85,14,2.959198
3.47,16,3.012335
3.09,11,3.051286
2.56,12,3.084916
0.06,12,3.121866
3.96,16,3.16597
3.57,15,3.203972
-0.03,10,3.251973
-0.25,11,3.308513
-0.02,9,3.33551
1.17,16,3.407293
0.24,13,3.453382
2.15,12,3.48567
0.94,17,3.541218
2.37,12,3.592648
0.86,11,3.635691
0.39,9,3.713995
4.03,20,3.768945
1.58,15,3.814178
2.37,11,3.847154
1.08,11,3.885857
-0.26,12,3.926354
3.23,19,3.980288
-0.26,12,4.019001
-0.02,7,4.042726
2.65,21,4.10664
1.74,19,4.169656
3.18,12,4.210917
0.48,12,4.248889
0.87,13,4.292871
3.39,11,4.327812
0.26,12,4.362317
0.36,12,4.400383
-0.28,14,4.449312
3.17,13,4.491701
2.65,21,4.554955
0.27,11,4.594006
0.06,10,4.628534
1.37,13,4.676471
1.73,20,4.732383
0.96,13,4.773593
-0.01,6,4.793913
0.78,11,4.833787
0.87,13,4.878896
1.94,19,4.933762
2.78,12,4.976073
0.96,15,5.025396
3.37,13,5.065034
2.14,12,5.09736
1.57,16,5.147473
2.57,15,5.192577
0.19,8,5.216868
2.95,15,5.269264
2.58,10,5.303026
1.29,11,5.337532
0.26,12,5.377032
0.38,11,5.411825
0.45,13,5.45405
1.34,17,5.506011
-0.01,6,5.525001
0.23,15,5.568825
-0.13,9,5.605226
2.78,12,5.644917
0.16,14,5.690067
1.76,14,5.740412
