#{"t_start": 1762605792.5946324, "env_id": "None"}
r,l,t
-1.004,5,0.060082
2.494,10,0.090471
-1.003,4,0.105549
-0.105,8,0.129215
0.194,9,0.158849
-1.006,7,0.178646
-1.005,6,0.196789
1.595,7,0.222056
-1.003,4,0.236703
0.195,9,0.272336
-1.004,5,0.290534
0.493,11,0.329425
-1.004,5,0.347212
-0.105,8,0.374085
1.594,9,0.402442
-1.003,4,0.412979
1.297,5,0.4264
-0.407,10,0.460633
1.297,5,0.477574
-1.003,4,0.490192
1.593,10,0.521697
-1.004,5,0.534657
-0.702,4,0.547647
-0.404,7,0.571568
0.493,12,0.60585
-0.406,9,0.634962
-1.006,7,0.657393
0.496,8,0.680885
-0.405,7,0.703266
-1.004,5,0.723265
-1.003,4,0.736601
-1.003,4,0.749416
-1.004,5,0.764311
-0.704,6,0.779096
-1.003,4,0.794741
-1.004,5,0.811803
-1.003,4,0.824662
-0.104,7,0.845497
-1.004,5,0.867707
-0.406,8,0.896477
1.294,8,0.921471
-1.003,4,0.936049
-0.705,7,0.961882
0.993,8,0.99009
-0.702,4,1.00523
-1.003,4,1.019283
1.593,9,1.04595
-0.41,12,1.08161
1.29,12,1.118585
1.291,11,1.153397
2.793,12,1.197005
-0.407,9,1.227457
-0.704,6,1.242389
2.191,13,1.279958
-1.003,4,1.292778
-1.003,4,1.306904
-1.006,7,1.32727
-1.004,5,1.343732
-0.406,8,1.368656
0.495,9,1.403188
-0.112,15,1.443436
-0.404,6,1.465375
-0.405,8,1.495561
-0.705,7,1.514812
1.892,11,1.548591
0.191,13,1.580894
1.893,10,1.614374
-0.407,9,1.639529
-0.106,9,1.670254
-0.104,7,1.693074
-0.405,8,1.722151
-0.709,11,1.757244
-0.407,9,1.781773
-0.708,10,1.815715
-0.408,10,1.843598
-1.004,5,1.860629
0.192,12,1.8913
1.595,7,1.911294
-1.003,4,1.927614
1.89,13,2.013024
-1.003,4,2.027341
-0.406,8,2.052484
-0.709,11,2.087313
-0.41,12,2.118927
-1.004,5,2.137855
-1.006,7,2.158557
-0.404,7,2.180748
-0.407,9,2.242873
-0.105,8,2.286469
-1.004,5,2.30146
-1.003,4,2.313383
-1.003,4,2.323961
-0.407,10,2.350208
-1.004,5,2.366337
-1.004,5,2.386009
-1.004,5,2.401841
-0.705,7,2.427058
-1.005,6,2.446531
2.192,12,2.483786
-0.709,11,2.509361
-0.112,15,2.54855
-0.404,7,2.571921
-0.404,7,2.599598
-0.704,6,2.619602
-0.106,9,2.647948
-0.405,7,2.667763
-0.404,7,2.694477
-0.407,10,2.724079
-0.706,8,2.750757
-0.704,6,2.770301
-1.003,4,2.784942
-1.006,7,2.80689
-1.004,5,2.820989
-0.706,8,2.845126
-1.004,5,2.866335
1.592,11,2.890165
1.895,8,2.916125
-0.106,10,2.943434
-0.705,7,2.96715
0.496,8,2.991884
1.295,7,3.012661
-1.003,4,3.026259
-0.705,7,3.052344
1.295,7,3.074233
2.197,7,3.09309
-1.003,4,3.106193
0.993,8,3.135021
-0.407,9,3.164038
-1.003,4,3.174897
-0.704,6,3.194244
2.19,13,3.230652
-0.705,7,3.253955
-0.707,9,3.286878
-0.403,6,3.303285
-0.707,9,3.331778
-0.709,11,3.371983
-1.003,4,3.385504
-0.406,9,3.414756
1.594,8,3.441067
-0.403,6,3.459131
1.893,11,3.494782
-0.707,9,3.522782
-0.405,8,3.546578
-0.403,6,3.560895
0.195,9,3.592642
-1.003,4,3.608671
-1.007,8,3.631568
1.593,10,3.65464
1.592,11,3.68682
1.291,11,3.722408
2.192,11,3.756958
-1.004,5,3.771449
-1.008,9,3.801185
-0.706,8,3.828174
-0.104,8,3.854345
-1.004,5,3.869907
-0.107,10,3.902146
-0.704,6,3.919111
-0.705,7,3.942181
2.196,9,3.972379
-0.408,10,4.006145
-1.003,4,4.019876
0.493,11,4.052065
-1.003,4,4.06608
1.294,8,4.087674
-0.407,9,4.119148
-1.005,6,4.137275
-0.707,9,4.168724
-0.704,6,4.189291
-0.106,9,4.214789
-1.004,5,4.233616
-1.003,4,4.247222
-1.005,6,4.266212
-1.003,4,4.279144
0.197,8,4.310557
-0.404,7,4.332405
-0.704,6,4.34997
-1.011,12,4.385529
-1.005,6,4.40542
-1.006,7,4.423776
-0.708,10,4.454736
-0.704,6,4.474981
-1.004,5,4.497358
-0.706,8,4.524408
1.593,9,4.55451
-1.004,5,4.56891
-0.704,6,4.590039
-1.011,12,4.624165
-1.003,4,4.637999
2.195,9,4.665607
-1.006,7,4.685885
-1.007,8,4.710832
-0.71,12,4.741995
-1.006,7,4.764108
-1.003,4,4.779347
-1.005,6,4.801938
-1.003,4,4.815951
-0.71,12,4.850691
-0.703,5,4.866753
-1.004,5,4.879251
-1.004,5,4.898573
-1.004,5,4.918202
-0.107,10,5.006157
-1.004,5,5.0242
-1.003,4,5.037729
-1.003,4,5.050554
