#{"t_start": 1762612225.0648792, "env_id": "None"}
r,l,t
-0.67,14,0.144649
-0.6,12,0.181891
-0.51,11,0.21447
-0.5,13,0.256672
-0.84,8,0.281779
-0.9,12,0.331451
-0.82,9,0.361861
1.5,13,0.407619
-0.61,11,0.442854
-0.32,16,0.4877
1.14,4,0.499833
-0.8,10,0.532093
-0.58,13,0.565412
1.51,13,0.601814
-0.72,13,0.644272
1.48,14,0.687889
1.48,16,0.733825
-0.64,14,0.769984
1.4,11,0.8026
-0.81,8,0.830938
-0.54,12,0.866444
-0.48,12,0.903805
-0.82,9,0.926689
-0.77,10,0.957811
-0.79,10,0.988078
-0.51,10,1.023597
-0.67,12,1.063923
-0.55,13,1.113441
-0.66,7,1.14555
1.36,9,1.175524
-0.13,12,1.218936
-0.77,11,1.257916
-0.26,14,1.303293
-0.8,6,1.323712
-0.67,8,1.359223
-0.4,14,1.411728
-0.25,12,1.455273
-0.82,6,1.479223
-0.57,16,1.528262
-0.35,14,1.571206
-0.84,8,1.596586
1.14,4,1.608941
-0.61,14,1.64985
-0.6,15,1.697668
-0.38,17,1.744315
-0.42,19,1.79846
-0.44,10,1.827344
-0.53,10,1.864867
-0.75,10,1.891838
-0.33,16,1.936717
-0.6,13,1.972475
-0.48,12,2.006773
-0.3,14,2.050287
-0.77,10,2.07362
-0.81,8,2.10008
-0.81,8,2.127851
-0.41,13,2.168114
1.13,5,2.18044
-0.7,12,2.212554
-0.55,10,2.249054
-0.68,13,2.288948
-0.61,11,2.319813
-0.59,13,2.356023
-0.39,14,2.395874
-0.55,9,2.425212
1.65,14,2.465011
-0.61,12,2.50094
-0.77,15,2.55322
-0.65,11,2.583957
-0.39,14,2.62813
-0.35,16,2.676658
-0.52,13,2.717958
-0.55,11,2.757132
-0.86,8,2.781864
-0.43,13,2.824363
-0.64,13,2.864126
-0.77,7,2.889139
-0.72,8,2.917255
-0.83,10,2.944358
-0.41,12,2.989835
-0.63,13,3.02887
-0.69,11,3.059317
-0.88,6,3.077344
-0.57,10,3.112817
-0.62,12,3.152379
-0.7,11,3.185488
-0.49,12,3.22232
-0.87,6,3.247708
-0.42,17,3.293832
-0.56,10,3.323223
-0.62,11,3.383387
-0.67,8,3.449833
-0.19,16,3.499566
1.46,12,3.545069
1.82,15,3.588057
1.44,9,3.617195
-0.41,15,3.673429
-1.05,12,3.725956
-0.56,12,3.773647
-0.52,10,3.810159
-0.89,8,3.836076
-0.89,11,3.869898
-0.52,12,3.906971
-0.41,11,3.941564
1.52,12,3.977978
-0.53,11,4.012961
-0.2,14,4.058874
1.39,11,4.099621
1.37,10,4.134881
-0.81,8,4.156675
1.59,13,4.190424
-0.2,17,4.249821
-0.59,15,4.290363
-0.5,15,4.336418
-0.3,12,4.375221
-0.8,6,4.395059
-0.43,14,4.43781
-0.58,12,4.474488
-0.8,10,4.502849
-0.85,9,4.534691
-0.7,10,4.565738
-0.53,10,4.596977
-0.34,14,4.638038
-0.65,11,4.670707
-0.4,11,4.703294
1.22,8,4.729492
-0.89,10,4.758967
-0.41,11,4.796667
-0.76,12,4.830591
1.38,11,4.864175
-0.55,13,4.90732
-0.37,12,4.946414
-0.59,14,4.984827
-0.67,8,5.010906
1.14,4,5.02113
-0.18,16,5.072969
-0.58,11,5.106439
-0.78,11,5.140043
-0.76,10,5.166641
-0.47,14,5.218136
-0.5,15,5.259534
-0.68,9,5.285318
-0.67,11,5.320053
-0.6,12,5.361695
-0.97,4,5.376802
-0.54,13,5.420603
-0.75,8,5.448449
-0.62,10,5.484941
-0.7,12,5.526343
-0.71,9,5.553406
1.7,14,5.598572
-0.68,10,5.632759
-0.55,11,5.675474
-0.72,13,5.717381
-0.75,8,5.744594
1.5,12,5.787729
-0.56,11,5.824211
-0.48,14,5.866235
-0.38,15,5.914989
-0.74,11,5.953
-0.89,8,5.975918
-0.7,11,6.014817
1.77,18,6.082212
1.38,11,6.118659
-0.79,6,6.139913
-0.76,15,6.18595
-0.31,13,6.228561
-0.31,16,6.275993
-0.7,10,6.307624
-0.8,6,6.329279
-0.51,11,6.361256
-0.58,10,6.399456
-0.8,10,6.430445
-0.49,13,6.466862
1.2,7,6.487016
1.28,11,6.524741
-0.85,12,6.56494
-0.77,13,6.605704
-0.52,14,6.649649
-0.35,12,6.69152
-0.52,11,6.723391
-0.59,16,6.777234
-0.55,13,6.819167
1.77,15,6.867079
-0.66,9,6.903567
-0.7,12,6.94851
-0.58,13,6.99049
-0.79,10,7.025282
-0.71,12,7.066446
-0.53,12,7.112374
-0.8,10,7.147939
-0.62,9,7.175306
-0.54,17,7.222072
-0.58,13,7.254751
-0.54,16,7.299097
-0.98,8,7.325554
-0.68,9,7.352224
-0.57,15,7.39586
-0.67,10,7.428344
-0.5,12,7.468004
-0.37,13,7.5103
-0.12,15,7.548927
1.54,13,7.589618
-0.74,9,7.62367
1.47,11,7.662126
-0.62,12,7.699296
-0.49,13,7.740481
-0.41,19,7.793253
-0.63,10,7.820376
-0.52,13,7.858879
-0.66,9,7.893032
-0.82,7,7.918097
1.27,12,7.956266
-0.71,9,7.986465
-0.56,9,8.011814
-0.37,12,8.049124
-0.45,14,8.086111
-0.68,13,8.138501
-0.9,9,8.168254
-0.49,12,8.205536
-0.57,12,8.243753
-0.54,12,8.280208
-0.77,9,8.303428
-0.42,17,8.361515
-0.61,11,8.392457
-0.75,12,8.429269
-0.89,7,8.452189
-0.72,8,8.478135
-0.56,11,8.510345
-0.54,12,8.546238
-0.95,8,8.570471
-0.87,8,8.60551
-0.67,12,8.652036
-0.71,12,8.688735
-0.52,13,8.73027
-0.9,9,8.758356
-0.6,13,8.798701
-0.62,11,8.836148
1.14,4,8.848551
-0.59,14,8.897832
-0.55,13,8.931382
1.5,10,8.963318
-0.73,13,9.003573
-0.47,13,9.042188
-0.87,5,9.057414
-0.74,10,9.086553
-0.63,10,9.118785
-0.56,11,9.15006
1.32,10,9.182191
-0.49,12,9.221842
-0.51,16,9.26837
-0.47,13,9.316837
-0.9,9,9.340367
-0.74,10,9.367995
-0.53,10,9.401461
-0.55,13,9.444416
-0.73,11,9.478845
1.14,4,9.491748
-0.42,12,9.529991
-0.52,13,9.572482
-0.87,9,9.596176
-0.71,10,9.630494
-0.81,12,9.666921
1.37,10,9.703766
-0.59,12,9.74244
-0.66,10,9.777971
-0.68,11,9.811245
-0.66,10,9.847571
-0.7,9,9.875512
-0.39,19,9.935074
-0.53,13,9.980079
1.23,9,10.014169
-0.78,8,10.04387
1.38,8,10.066003
-0.94,7,10.086346
-0.77,7,10.109667
1.53,9,10.136355
-0.52,14,10.177165
-0.55,9,10.200159
0.08,17,10.253826
1.63,10,10.284042
-0.62,9,10.310907
-0.83,7,10.336002
-0.6,9,10.371129
-0.85,9,10.404161
-0.77,9,10.435657
-0.71,9,10.458129
-0.72,9,10.492801
-0.03,17,10.547132
-0.47,13,10.5857
-0.86,8,10.609782
1.53,11,10.649349
-0.45,13,10.693287
-0.39,15,10.737325
-0.28,13,10.777223
-0.39,12,10.817991
-0.51,12,10.853894
1.2,10,10.880484
-0.64,12,10.917229
-0.99,6,10.940675
-0.62,9,10.970619
-0.45,14,11.015918
-0.46,12,11.051255
-0.83,8,11.082551
1.14,4,11.093141
-0.6,11,11.120998
-0.44,11,11.157013
1.61,15,11.200469
-0.67,14,11.24052
-0.82,9,11.270742
-0.39,15,11.315516
-1.02,9,11.347654
-0.12,18,11.402954
1.24,11,11.431562
-0.59,8,11.456133
-0.71,7,11.479951
-0.59,11,11.51569
-0.83,10,11.54786
-0.57,11,11.586105
-0.66,12,11.632483
-0.84,8,11.660141
-0.6,9,11.694082
1.4,9,11.725456
-0.52,13,11.764689
-0.7,9,11.795897
