#{"t_start": 1762613392.5732462, "env_id": "None"}
r,l,t
-0.67,13,0.044382
-0.79,6,0.06144
-0.73,11,0.088201
-0.76,8,0.109588
-0.6,14,0.153017
1.29,6,0.168682
-0.65,9,0.231999
-0.9,9,0.298218
1.35,8,0.322152
-0.96,9,0.344568
1.56,14,0.373699
1.33,8,0.394999
-0.75,11,0.417125
-0.51,12,0.446736
-0.95,8,0.468875
1.54,17,0.516553
-0.61,11,0.562847
1.3,14,0.642325
-0.92,5,0.655306
1.17,13,0.678731
-0.82,9,0.696477
-0.48,14,0.727787
1.36,11,0.747994
-0.85,12,0.771278
-0.81,11,0.79372
-0.99,6,0.808072
-0.49,16,0.848838
1.18,6,0.859941
-0.52,17,0.890347
-0.89,8,0.903349
-0.72,13,0.932039
-0.68,10,0.959147
1.26,9,0.976887
1.46,11,0.993508
-0.69,14,1.014762
-0.68,13,1.032171
-0.98,5,1.042128
-0.6,10,1.057188
1.46,9,1.070009
-0.87,5,1.079789
-0.49,16,1.110661
-0.78,12,1.130552
1.39,13,1.152847
-0.55,13,1.167963
1.26,6,1.179934
1.41,14,1.198779
-0.78,11,1.216903
-0.88,10,1.232116
-0.51,14,1.254484
-0.81,8,1.265103
-0.87,5,1.273368
1.18,9,1.286408
-0.57,11,1.308622
1.14,12,1.333111
-0.59,10,1.356265
1.13,5,1.363808
-0.94,9,1.379446
1.16,8,1.390683
-0.54,12,1.406695
1.31,11,1.425193
1.38,8,1.442435
1.23,7,1.456973
-0.98,5,1.467076
1.22,8,1.479536
1.54,11,1.500019
-0.74,10,1.516979
1.23,7,1.526981
-0.82,9,1.541637
-0.63,9,1.556301
1.41,14,1.575742
1.24,8,1.587601
-0.94,7,1.598185
1.13,7,1.610916
1.27,11,1.627248
-0.39,17,1.648388
-0.68,16,1.674814
1.17,7,1.685872
-0.62,16,1.705185
1.37,12,1.721021
1.2,10,1.734714
1.33,13,1.754404
-0.96,9,1.766606
-0.79,10,1.783222
1.3,10,1.799261
-0.65,9,1.811986
-0.5,12,1.827597
-0.72,14,1.845302
1.3,7,1.854443
1.27,9,1.868207
1.17,12,1.886955
1.41,12,1.90409
-0.67,11,1.919289
1.33,11,1.937047
-0.6,16,1.958235
-0.78,8,1.969742
