#{"t_start": 1762623713.3295553, "env_id": "None"}
r,l,t
-0.76,6,0.131968
1.19,5,0.170584
-0.88,7,0.200212
-0.88,6,0.22248
-0.95,8,0.255935
-0.83,7,0.281749
-0.82,6,0.30956
-0.81,8,0.336392
-0.82,6,0.358738
1.32,9,0.388111
1.18,6,0.418665
-0.97,4,0.447903
-0.84,8,0.525843
-0.92,11,0.578364
-0.71,6,0.607964
-0.98,5,0.631309
-0.82,6,0.66582
-0.6,10,0.701041
-0.98,5,0.723956
-0.76,7,0.752208
-0.97,4,0.772562
1.19,5,0.794611
-0.81,5,0.816516
-1.03,4,0.836023
-0.91,4,0.855352
1.22,8,0.887962
-0.97,4,0.905805
-0.97,4,0.922423
-0.67,8,0.954489
-0.99,6,0.97901
-0.86,7,1.010868
1.14,4,1.025126
-0.97,4,1.043913
-0.9,9,1.075543
-0.97,4,1.091889
-0.86,4,1.109576
-0.99,6,1.137983
-0.91,4,1.148706
1.19,5,1.164174
-0.98,5,1.182482
-0.93,6,1.265761
-0.87,6,1.310635
-0.94,7,1.349808
-0.97,4,1.36887
-0.61,10,1.415594
1.15,6,1.434146
-0.97,4,1.448504
1.24,11,1.49585
-0.65,10,1.534008
-0.91,4,1.556637
-0.82,7,1.616566
-0.83,10,1.69082
-0.91,10,1.74994
-0.98,5,1.767662
1.12,9,1.806574
-0.85,10,1.849271
-0.97,4,1.86703
-0.66,7,1.898442
-0.91,4,1.914021
-0.92,5,1.93081
-1.03,4,1.946776
-0.82,6,1.974596
-0.93,6,1.994795
-0.83,7,2.019865
-0.97,4,2.036487
-0.89,8,2.065363
-0.92,5,2.082588
-0.87,12,2.126952
-0.89,7,2.152307
1.19,5,2.164981
1.14,4,2.177431
-0.88,7,2.203079
-0.84,8,2.233499
-0.87,6,2.252305
1.18,6,2.277046
-0.85,10,2.31124
1.12,6,2.338638
-0.87,5,2.356221
-0.87,5,2.372937
-0.91,4,2.386144
1.46,13,2.436901
-0.79,6,2.474703
-0.91,4,2.497433
1.14,4,2.512126
-0.91,4,2.531742
-0.97,4,2.557073
