#{"t_start": 1762626696.207687, "env_id": "None"}
r,l,t
-0.9,12,1.432863
-0.93,6,1.448554
-0.79,12,1.480762
1.19,5,1.491294
1.38,9,1.507908
-0.89,10,1.52831
1.29,6,1.542355
1.28,10,1.565209
-0.71,13,1.598353
1.21,8,1.617211
-0.83,7,1.635901
1.22,8,1.657264
1.29,9,1.680331
-0.62,9,1.699422
1.18,6,1.712615
-0.78,11,1.735918
-1.0,7,1.751234
1.34,7,1.765559
1.7,15,1.799305
-0.67,9,1.821859
-0.47,16,1.862175
-0.78,11,1.884664
-0.9,8,1.903299
-0.67,17,1.93914
1.29,10,1.965413
-0.46,15,2.001497
-0.76,9,2.026258
1.5,10,2.047664
-0.53,15,2.081467
-0.67,14,2.113933
-0.99,6,2.130359
-0.87,12,2.158971
-0.89,10,2.181056
1.17,10,2.203141
1.35,15,2.237647
-0.47,13,2.264451
1.19,5,2.275603
-0.67,13,2.308466
-0.7,9,2.329028
1.22,7,2.344749
-0.71,9,2.368694
1.12,9,2.392615
1.13,8,2.412931
1.16,8,2.432069
-0.57,15,2.465588
-0.86,13,2.493902
-0.62,18,2.535365
1.32,9,2.557267
-0.67,12,2.589154
1.29,12,2.613959
-1.01,8,2.634377
-0.88,6,2.651425
1.15,5,2.665509
-0.51,14,2.702924
1.19,13,2.737416
-0.87,8,2.75698
-0.92,8,2.778519
-0.81,5,2.792553
-0.39,15,2.830648
1.29,9,2.853548
1.33,9,2.876727
1.12,6,2.892051
-0.75,15,2.926696
1.39,13,2.959363
1.41,10,2.98455
-0.81,14,3.020654
1.29,12,3.051551
-0.8,9,3.06985
-0.97,4,3.081636
1.44,12,3.108316
1.18,12,3.137943
-0.6,10,3.160823
1.1,8,3.181417
-0.83,13,3.215019
-0.77,10,3.233545
1.4,10,3.259476
1.36,12,3.291414
-0.85,9,3.314386
-0.41,12,3.342918
-0.95,8,3.361963
-0.79,9,3.382849
1.11,10,3.406992
-0.86,10,3.429903
-0.86,8,3.450383
-0.93,6,3.466797
1.32,12,3.495743
1.48,11,3.518374
-0.88,11,3.545363
-0.9,8,3.562865
-0.5,13,3.59423
1.25,13,3.621737
1.33,8,3.637657
-0.86,11,3.661299
-0.63,9,3.683357
-0.68,13,3.713897
-0.77,12,3.759141
-0.42,13,3.813024
-0.58,15,3.845927
1.16,5,3.857157
1.24,5,3.868547
-0.45,15,3.904423
1.46,10,3.929387
-0.73,16,3.96583
1.24,6,3.97865
1.37,10,3.998129
1.44,11,4.025435
1.36,8,4.041794
1.28,10,4.067607
-0.84,14,4.103252
-0.67,8,4.119704
-0.8,10,4.143863
-0.47,17,4.183797
-0.95,8,4.204438
1.43,10,4.230733
-0.76,9,4.250403
1.18,9,4.274102
-0.97,4,4.283353
-0.88,7,4.302933
1.33,11,4.332642
-0.85,9,4.351241
-0.76,12,4.381832
-0.75,13,4.416049
-0.67,10,4.438459
1.41,14,4.466905
-0.68,10,4.492687
-0.7,14,4.525857
-0.57,12,4.557068
-0.57,15,4.594658
1.21,6,4.610029
-0.63,13,4.6437
-0.62,12,4.67557
-0.82,9,4.696279
1.23,7,4.714309
1.35,11,4.741215
-0.38,15,4.776907
-0.61,13,4.806918
1.46,12,4.831583
-0.85,9,4.856499
-0.79,12,4.883848
-0.66,13,4.912601
-0.6,10,4.941341
-0.6,12,4.972036
1.36,8,4.993238
1.14,4,5.003727
1.44,11,5.028901
-0.51,17,5.067923
-0.59,13,5.099691
1.35,11,5.123723
1.48,10,5.146096
1.2,10,5.167108
-0.7,12,5.198501
-0.27,16,5.237124
-0.79,9,5.261817
1.13,5,5.273782
1.17,12,5.305622
-0.54,17,5.345466
-0.69,18,5.388679
-0.59,13,5.420128
-0.95,8,5.439709
1.18,6,5.455957
-0.65,12,5.483681
-0.6,12,5.510766
-0.79,9,5.533333
-0.72,14,5.567743
-0.86,11,5.595868
