#{"t_start": 1762630799.404159, "env_id": "None"}
r,l,t
-0.73,8,0.070169
-0.36,11,0.104594
-0.67,8,0.128017
-0.62,9,0.151402
1.14,4,0.163824
1.14,4,0.17565
-0.63,10,0.205261
1.14,4,0.217152
-0.71,7,0.240879
-0.69,11,0.279577
-0.25,12,0.314202
-0.52,10,0.342316
-0.67,8,0.365219
1.14,4,0.376776
-0.72,9,0.398291
1.14,4,0.409366
-0.61,8,0.43748
-0.5,10,0.470576
-0.66,12,0.50755
-0.68,9,0.534609
1.24,6,0.55252
-0.82,6,0.574746
-0.67,8,0.603106
1.14,4,0.62066
-0.77,7,0.65434
-0.52,10,0.691654
1.14,4,0.701435
-0.66,7,0.722415
-0.56,11,0.758626
-0.76,9,0.791
-0.5,10,0.819817
-0.61,8,0.843007
1.14,4,0.85532
-0.67,8,0.876198
1.14,4,0.88839
-0.65,8,0.913383
-0.82,7,0.932253
-0.63,9,0.96178
-0.77,7,0.987075
1.14,4,0.997947
1.14,4,1.009614
-0.5,9,1.039163
1.14,4,1.050781
-0.66,7,1.07317
-0.58,10,1.108088
-0.54,11,1.135494
-0.33,11,1.169673
-0.49,11,1.196553
1.14,4,1.207991
-0.66,7,1.234574
1.14,4,1.247983
1.84,14,1.291337
-0.57,10,1.31747
-0.67,8,1.342402
1.19,5,1.357395
-0.55,9,1.387964
-0.6,9,1.414831
-0.15,14,1.456871
-0.73,8,1.482274
-0.54,11,1.518528
1.43,9,1.548558
-0.55,9,1.62877
1.68,10,1.659854
-0.76,6,1.679491
1.19,5,1.691358
-0.71,6,1.707069
-0.34,11,1.741153
-0.81,5,1.759621
-0.47,11,1.793376
-0.45,11,1.830655
-0.67,8,1.852701
-0.63,9,1.877626
1.14,4,1.886228
-0.55,10,1.916476
-0.54,10,1.948301
-0.81,5,1.964169
-0.67,8,1.989456
-0.67,8,2.014085
1.29,6,2.032882
-0.67,8,2.055884
1.14,4,2.066253
-0.66,7,2.087877
-0.54,12,2.127198
-0.51,12,2.165937
-0.68,9,2.190434
-0.35,10,2.224994
-0.55,12,2.264847
-0.81,5,2.281935
1.14,4,2.292508
-0.82,6,2.311835
-0.67,8,2.334505
1.14,4,2.345289
-0.71,7,2.366373
1.14,4,2.379145
-0.49,12,2.417364
-0.54,9,2.442755
-0.41,9,2.474372
-0.52,10,2.500679
1.14,4,2.512854
-0.79,9,2.536832
1.14,4,2.54867
1.19,5,2.561522
-0.48,12,2.600013
1.14,4,2.612906
1.55,11,2.647197
-0.82,6,2.666128
1.14,4,2.677532
1.14,4,2.687356
1.29,6,2.705131
-0.71,6,2.721344
-0.69,12,2.754338
-0.44,9,2.784121
-0.54,9,2.810928
-0.6,9,2.839145
1.69,10,2.867871
1.14,4,2.879259
1.29,6,2.895518
1.14,4,2.908283
-0.52,10,2.937127
-0.68,9,2.965822
-0.54,8,2.9937
-0.55,10,3.018183
-0.82,6,3.037671
1.49,8,3.063288
-0.52,9,3.08953
-0.25,12,3.120038
-0.24,12,3.159098
