#{"t_start": 1762645155.5664227, "env_id": "None"}
r,l,t
1.19,5,0.084782
1.14,4,0.095289
1.13,5,0.10743
-0.91,4,0.119914
-0.94,7,0.143302
-0.71,6,0.15879
1.24,6,0.181348
1.34,7,0.206167
-0.91,4,0.220378
1.19,5,0.239033
1.19,5,0.256267
-0.82,7,0.286289
1.24,6,0.303656
1.19,5,0.320247
-0.76,6,0.338182
1.14,4,0.350582
1.14,4,0.363735
-0.81,5,0.377827
1.19,5,0.391592
1.19,5,0.403222
-0.77,7,0.42278
-0.86,4,0.435159
1.32,9,0.461308
1.19,5,0.475995
-0.86,5,0.492943
-0.91,4,0.506618
-0.71,7,0.525665
1.14,4,0.537109
1.18,6,0.555791
1.29,6,0.574071
1.24,6,0.588614
1.19,5,0.602266
1.29,6,0.619625
-0.81,5,0.633152
-0.61,8,0.656361
-0.76,6,0.672518
1.14,4,0.683776
1.36,8,0.70824
-0.82,6,0.722231
1.19,5,0.734575
1.29,6,0.752207
1.24,6,0.770462
1.14,4,0.782502
-0.97,4,0.796526
-0.63,10,0.825754
-0.77,7,0.839934
-0.75,7,0.857366
1.24,6,0.871902
-0.81,5,0.886362
-0.91,4,0.897684
-0.81,5,0.913045
1.14,4,0.923326
1.29,6,0.93811
-0.91,4,0.950751
1.14,4,0.961058
1.31,10,0.992278
1.19,5,1.008008
-0.52,10,1.036507
1.29,6,1.054163
1.19,5,1.070907
-0.92,5,1.084638
1.19,5,1.099918
1.14,4,1.111992
1.13,5,1.126801
1.29,6,1.145784
1.18,6,1.164848
1.14,4,1.175937
1.24,6,1.194849
-0.98,5,1.208227
1.14,4,1.219784
1.19,5,1.235723
-0.66,7,1.25764
1.14,4,1.267242
1.14,4,1.279553
1.19,5,1.293485
-0.91,4,1.302994
1.29,6,1.319339
-0.91,4,1.332153
-0.81,5,1.347031
-0.61,8,1.374204
1.14,4,1.385347
1.21,5,1.39776
-0.7,8,1.419612
-0.91,4,1.432046
1.13,5,1.445109
1.17,7,1.461858
1.19,5,1.475407
-0.98,5,1.492414
-0.86,5,1.505264
1.14,4,1.517557
-0.91,4,1.529344
1.19,5,1.54297
-0.81,5,1.555542
1.14,4,1.567657
1.29,6,1.586197
1.14,4,1.596335
-0.81,5,1.609857
1.14,4,1.620903
1.14,4,1.632386
1.14,4,1.644163
-0.91,4,1.656119
1.23,7,1.674213
-0.77,7,1.697141
1.14,4,1.706489
1.14,4,1.716123
1.14,4,1.728382
-0.56,8,1.74948
1.13,5,1.763478
-0.88,7,1.784602
-0.81,5,1.800161
1.14,4,1.811597
-0.81,5,1.826502
1.19,5,1.841518
1.18,6,1.855173
1.19,5,1.868825
-0.86,4,1.88147
1.19,5,1.894735
-0.83,7,1.917327
1.13,5,1.931028
1.13,5,1.945231
-0.66,7,1.965504
-0.68,10,1.997075
1.14,4,2.005943
1.14,4,2.017651
-0.88,7,2.035557
-0.91,4,2.046651
1.36,7,2.065247
1.14,4,2.074345
-0.88,7,2.097613
-0.91,4,2.110323
1.18,6,2.125677
1.18,6,2.144663
1.18,6,2.162686
1.23,7,2.184902
-0.93,6,2.200089
-0.81,5,2.215725
1.19,5,2.229749
-0.87,6,2.248906
-0.91,4,2.259184
1.19,5,2.270659
1.24,6,2.288622
-0.87,6,2.307375
1.14,4,2.31823
-0.72,7,2.339482
1.14,4,2.351155
-0.86,5,2.365552
1.19,5,2.377808
-0.76,6,2.396636
-0.91,4,2.409587
-0.55,9,2.440077
-0.81,5,2.452961
-0.93,6,2.469128
-0.87,5,2.482963
1.19,5,2.496435
1.29,6,2.515259
-0.76,5,2.531746
1.14,4,2.54381
1.19,5,2.557583
-0.88,6,2.578541
1.29,6,2.597061
-0.69,7,2.62016
1.19,5,2.63499
1.24,6,2.651451
1.14,4,2.663409
1.14,4,2.671935
-0.81,5,2.684673
1.14,4,2.695775
1.14,4,2.70624
-0.87,6,2.721098
-1.03,4,2.734056
-0.77,7,2.751695
-0.87,5,2.764801
-0.97,4,2.775444
1.19,5,2.789903
-0.76,9,2.815262
-0.81,5,2.829209
1.14,4,2.839407
-0.76,6,2.854032
1.14,4,2.866385
-0.87,5,2.881467
1.14,4,2.891073
-0.71,6,2.910186
-0.61,8,2.935369
-0.8,7,2.958583
-0.86,5,2.969991
1.19,5,2.98234
-0.91,4,2.995273
1.14,4,3.005679
-0.81,5,3.018193
1.23,7,3.037264
1.14,4,3.049507
1.28,7,3.069944
1.17,7,3.140248
1.19,5,3.155824
-0.86,5,3.16841
1.19,5,3.183439
1.14,4,3.194078
-0.88,7,3.214514
1.14,4,3.225832
1.13,5,3.239927
1.26,7,3.260607
1.14,4,3.271174
-0.86,4,3.284318
-0.64,11,3.320382
-0.87,5,3.334413
1.24,6,3.352256
1.28,8,3.376898
1.29,6,3.393397
1.24,6,3.406203
-0.87,6,3.425481
1.19,5,3.437289
-0.71,7,3.45737
-0.93,6,3.47795
-0.91,4,3.490533
-0.81,5,3.503401
1.14,4,3.513165
1.12,6,3.530905
-0.97,4,3.541596
1.19,5,3.552925
-0.93,6,3.568217
-0.91,4,3.580339
-0.87,5,3.596383
-0.93,6,3.613663
1.14,4,3.624384
-0.91,4,3.636726
-0.87,5,3.653008
-0.81,5,3.665797
1.24,6,3.683649
1.18,6,3.699172
1.14,4,3.710618
1.34,7,3.729047
1.14,4,3.739233
1.29,6,3.75313
1.14,4,3.76328
1.14,4,3.772805
1.28,11,3.803252
1.29,6,3.822736
1.24,6,3.841341
-0.86,5,3.857896
1.14,4,3.869779
1.24,6,3.884835
-0.77,7,3.906571
-0.91,4,3.916104
1.18,6,3.931421
-0.91,4,3.944076
1.19,5,3.959253
1.14,4,3.970111
-0.66,7,3.992533
1.14,4,4.0013
-0.92,5,4.015818
-0.86,4,4.027492
1.14,4,4.036312
-0.91,4,4.048041
1.18,6,4.063729
-0.88,7,4.084504
-0.86,4,4.096139
1.12,6,4.113389
1.14,4,4.124049
1.14,4,4.135843
-0.82,6,4.151306
-0.71,7,4.173112
1.19,5,4.185967
-0.86,5,4.201448
1.19,5,4.216283
1.24,6,4.235732
-0.86,4,4.248367
-0.81,5,4.262722
1.14,4,4.273499
1.33,8,4.296374
-0.91,4,4.308836
-0.93,6,4.325508
-0.91,4,4.337384
-0.86,4,4.348049
-0.81,5,4.364336
-0.81,5,4.380368
1.14,4,4.392537
1.19,5,4.406571
1.14,4,4.416282
-0.89,8,4.437582
1.24,6,4.450518
1.19,5,4.465293
1.19,5,4.478426
-0.64,8,4.503468
1.14,4,4.513216
1.24,6,4.531036
1.39,7,4.551674
1.14,4,4.563624
1.14,4,4.576152
1.14,4,4.587893
1.19,5,4.602816
-0.87,5,4.615715
-0.81,5,4.630574
1.33,8,4.651494
1.14,4,4.662894
-0.76,6,4.682414
1.29,6,4.699047
1.19,5,4.712163
-0.76,6,4.729442
1.19,5,4.74277
1.14,4,4.753662
-0.72,8,4.779578
-0.91,4,4.79201
1.13,5,4.806065
1.17,7,4.8286
-0.82,6,4.84672
1.19,5,4.863551
-0.81,5,4.93719
-0.71,6,4.958086
1.19,5,4.972244
1.28,7,4.993058
1.14,4,5.003654
1.14,4,5.015049
1.18,6,5.031515
-0.81,5,5.046186
1.21,5,5.060151
-0.98,5,5.073167
1.13,5,5.087233
-0.86,5,5.103226
1.14,4,5.113291
-0.81,5,5.129424
-0.64,8,5.152165
1.14,4,5.164002
1.19,5,5.177661
-0.71,6,5.196412
-0.61,8,5.221976
-0.91,4,5.234604
1.14,4,5.246709
-0.82,6,5.265602
-0.94,7,5.28451
1.19,5,5.299472
-0.66,7,5.31926
1.28,7,5.342115
1.14,4,5.352152
1.14,4,5.363854
-0.98,5,5.380077
1.19,5,5.394844
1.19,5,5.409263
1.29,6,5.426016
-0.91,4,5.438316
-0.97,4,5.451533
-0.81,5,5.464894
-0.91,4,5.47446
-0.91,4,5.486243
1.19,5,5.499465
1.14,4,5.5108
1.19,5,5.526576
-0.67,9,5.550611
1.14,4,5.560273
1.19,5,5.574926
-0.81,5,5.591397
1.19,5,5.603256
1.19,5,5.61789
-0.61,13,5.659795
-0.86,5,5.67587
-0.76,6,5.693344
1.19,5,5.708306
-0.86,4,5.720811
-0.97,4,5.734298
1.19,5,5.750214
-0.83,8,5.777098
-0.81,5,5.790979
1.14,4,5.801719
-1.03,4,5.813274
1.19,5,5.826115
-0.87,6,5.845454
-0.86,4,5.857728
-0.81,5,5.874174
-0.71,7,5.892248
1.14,4,5.899753
1.14,4,5.908825
1.19,5,5.920013
1.03,10,5.948953
-0.76,6,5.968682
1.18,6,5.984247
1.19,5,5.998231
1.18,6,6.016124
1.14,4,6.027441
1.38,8,6.049389
1.29,6,6.067909
1.14,4,6.078541
-0.86,5,6.092355
1.14,4,6.730613
1.24,6,6.748641
-0.91,4,6.760574
1.14,4,6.771371
-0.82,6,6.790791
1.24,6,6.80783
-0.98,5,6.822352
-0.87,6,6.840592
1.19,5,6.859122
-0.82,6,6.925714
-0.91,4,6.935991
-0.91,4,6.947293
1.14,4,6.957064
1.19,5,6.97106
1.24,6,6.990324
1.24,6,7.00983
-0.91,4,7.021625
-0.72,7,7.045126
1.28,7,7.063783
1.5,9,7.091134
1.14,4,7.102503
-0.91,4,7.115225
-0.81,5,7.131948
1.24,6,7.154237
-0.82,6,7.170521
-0.78,8,7.198278
-0.92,5,7.21357
1.19,5,7.229326
1.19,5,7.242774
1.19,5,7.25703
1.19,5,7.268388
-0.9,5,7.283659
-0.87,6,7.302446
-0.86,4,7.314909
-0.73,9,7.344719
1.14,4,7.357093
1.14,4,7.368157
1.14,4,7.377835
-0.91,4,7.389814
1.14,4,7.398372
1.14,4,7.409218
-0.82,7,7.430692
1.14,4,7.443288
1.29,6,7.463215
1.14,4,7.475544
-0.93,6,7.493197
1.14,4,7.505391
-0.77,7,7.528296
1.14,4,7.53946
1.14,4,7.550083
1.14,4,7.562288
1.28,7,7.57996
-0.81,5,7.592701
1.28,7,7.611633
1.14,4,7.623731
-0.54,8,7.646541
-0.94,7,7.664954
1.29,6,7.682377
-0.92,5,7.700436
1.31,6,7.714507
-0.82,6,7.733778
1.14,4,7.744987
1.19,5,7.760425
1.14,4,7.771991
1.14,4,7.780389
-0.91,4,7.793478
1.14,4,7.804424
-0.81,5,7.819689
1.14,4,7.8317
1.29,6,7.850866
1.14,4,7.862705
1.24,5,7.87876
1.19,5,7.894282
-0.91,4,7.906072
-0.9,9,7.930591
1.24,6,7.949188
1.14,4,7.961073
1.19,5,7.97365
-0.81,5,7.987837
1.19,5,8.001803
1.19,5,8.016126
-0.71,7,8.040373
1.19,5,8.054941
1.19,5,8.0689
1.28,8,8.09329
1.19,5,8.1083
1.14,4,8.119599
1.19,5,8.135303
-0.82,6,8.154916
1.14,4,8.166306
1.14,4,8.178232
1.19,5,8.192871
1.19,5,8.206704
1.14,4,8.217633
1.34,7,8.239572
1.14,4,8.250688
1.34,7,8.271815
1.13,5,8.282984
1.14,4,8.294454
-0.77,7,8.314062
-0.77,7,8.336364
1.14,4,8.347807
1.14,4,8.359777
-0.81,5,8.374438
-0.81,5,8.390341
1.19,5,8.405263
1.14,4,8.414104
1.33,8,8.43629
1.14,4,8.447432
-0.91,4,8.460267
1.19,5,8.476021
1.24,6,8.495462
-0.92,5,8.509796
1.24,6,8.528348
1.14,4,8.538874
1.14,4,8.549479
-0.72,8,8.574788
-0.72,7,8.597305
1.19,5,8.61059
1.19,5,8.623345
-0.91,4,8.63482
1.28,8,8.654386
1.29,6,8.67246
-0.81,5,8.687263
1.14,4,8.698379
1.19,5,8.713638
-0.91,4,8.726235
1.14,4,8.738552
1.23,7,8.758648
1.14,4,8.769728
1.14,4,8.78043
-0.86,4,8.791641
-0.86,5,8.806499
-0.81,5,8.82195
1.13,5,8.835599
1.19,5,8.846853
-0.94,7,8.868857
-0.76,6,8.885307
-0.81,5,8.901219
-0.81,5,8.917024
1.19,5,8.931815
-0.82,6,8.949342
-0.76,6,8.968821
1.14,4,8.98047
1.14,4,8.992131
1.14,4,9.004246
1.14,4,9.015652
1.14,4,9.024414
1.14,4,9.034538
-1.03,4,9.04476
1.19,5,9.059828
1.13,5,9.073538
1.19,5,9.088098
1.29,7,9.10891
1.19,5,9.12126
-0.86,4,9.132449
1.14,4,9.144062
-0.86,4,9.156461
1.19,5,9.171626
1.14,4,9.183109
1.19,5,9.198033
1.24,6,9.216786
-0.41,10,9.245485
1.14,4,9.257986
1.19,5,9.271952
-0.7,7,9.294073
-0.81,5,9.310205
1.14,4,9.322363
1.34,7,9.343795
-0.88,7,9.367091
1.14,4,9.378634
1.29,6,9.395291
1.14,4,9.407328
1.19,5,9.422797
1.19,5,9.438016
1.19,5,9.451508
-0.89,8,9.469813
1.34,7,9.491495
-0.86,5,9.508426
1.19,5,9.523474
1.29,7,9.5417
1.14,4,9.553726
1.14,4,9.564854
-0.86,4,9.575814
-0.91,4,9.587516
-0.75,8,9.613216
1.19,5,9.628515
1.19,5,9.64358
-0.67,8,9.669335
1.24,8,9.692381
1.14,4,9.701813
1.14,4,9.710827
-0.72,7,9.731033
-0.87,6,9.752501
-0.76,6,9.773124
1.14,4,9.784336
-0.91,4,9.796388
1.29,6,9.8137
1.29,6,9.832614
1.19,5,9.847873
1.14,4,9.859722
1.19,5,9.874305
1.14,4,9.884669
1.14,4,9.896598
1.14,4,9.908132
-0.81,5,9.925154
1.13,5,9.937643
1.12,7,9.957077
1.29,6,9.975648
-0.97,4,9.989029
-0.91,4,10.000963
1.29,6,10.015487
1.14,4,10.027365
1.28,7,10.04993
1.19,5,10.062422
1.14,4,10.072255
1.19,5,10.085491
1.33,9,10.112771
-0.81,5,10.129834
-0.91,4,10.142437
-0.76,6,10.161716
1.14,4,10.172973
1.14,4,10.181782
-0.91,4,10.192286
-0.73,9,10.221023
1.36,11,10.29099
1.19,5,10.303863
1.14,4,10.315671
1.14,4,10.326411
1.24,6,10.344845
1.19,5,10.356861
1.18,6,10.37293
-0.63,10,10.403745
1.14,4,10.414564
1.14,4,10.42454
-0.81,5,10.437882
1.14,4,10.449061
1.19,5,10.46086
1.38,8,10.48318
-0.81,5,10.499207
-0.71,6,10.515572
1.21,5,10.530456
-0.97,4,10.54439
-0.77,7,10.563919
1.14,4,10.57497
1.28,7,10.59448
1.14,4,10.604378
1.34,7,10.623256
-0.93,6,10.640076
1.14,4,10.650925
1.19,5,10.666744
1.14,4,10.67582
1.13,5,10.688889
1.19,5,10.70305
1.34,7,10.724055
1.14,4,10.736204
1.19,5,10.750885
-0.61,8,10.774408
-0.91,4,10.785423
-0.81,5,10.798132
1.14,4,10.809652
1.19,5,10.825167
-0.82,6,10.842672
-0.81,6,10.860476
-0.86,4,10.872995
-0.81,5,10.888839
1.36,7,10.907853
-0.92,5,10.922257
-0.86,4,10.933364
1.14,4,10.944288
1.39,7,10.965993
1.14,4,10.977483
-0.71,6,10.994091
1.14,4,11.00555
1.13,5,11.02019
1.14,4,11.031081
1.24,6,11.049628
1.25,7,11.067116
1.18,6,11.08679
-0.76,6,11.103685
1.14,4,11.114364
1.19,5,11.129326
-0.66,7,11.151321
-0.67,8,11.177681
1.14,4,11.188205
1.14,4,11.198668
1.19,5,11.212527
-0.81,5,11.227912
1.14,4,11.238021
1.24,6,11.25404
-0.82,6,11.271922
1.14,4,11.282573
1.14,4,11.294096
1.14,4,11.305635
-0.71,7,11.325026
1.19,5,11.339134
-0.91,4,11.350842
-0.92,5,11.36687
-0.86,4,11.379906
-0.76,6,11.399297
-0.81,5,11.415084
-0.85,6,11.43025
1.14,4,11.4422
1.13,5,11.455313
1.19,5,11.46868
1.19,5,11.482223
1.34,7,11.49812
-0.88,6,11.514548
1.14,4,11.526056
1.14,4,11.537018
-0.83,7,11.556788
-0.91,4,11.568131
-0.91,4,11.578597
1.19,5,11.590931
1.14,4,11.602338
1.18,6,11.62005
1.29,6,11.637492
1.14,4,11.64803
1.19,5,11.663737
1.14,4,11.674352
-0.76,6,11.690424
1.14,4,11.70204
1.14,4,11.713286
1.29,6,11.731722
-0.82,6,11.750871
1.14,4,11.760261
1.29,6,11.776356
-0.81,5,11.790052
1.13,5,11.804668
1.29,6,11.823236
1.19,5,11.83872
-0.77,7,11.860137
1.14,4,11.870541
1.19,5,11.881893
-0.81,5,11.898464
-0.66,7,11.921816
-0.91,4,11.93214
1.14,4,11.94403
1.4,9,11.969387
-0.86,5,11.986038
1.46,8,12.0068
1.19,5,12.018831
1.14,4,12.029613
1.14,4,12.042011
-0.77,7,12.064932
1.19,5,12.079527
1.14,4,12.089887
1.29,6,12.105726
-0.77,7,12.125018
1.14,4,12.135435
1.29,6,12.14844
1.29,6,12.167101
1.19,5,12.181596
1.19,5,12.194735
-0.89,7,12.212448
1.18,6,12.230188
1.14,4,12.240061
1.36,10,12.26242
1.14,4,12.272177
-0.71,7,12.293264
-0.92,5,12.309132
1.14,4,12.320776
1.19,5,12.335118
1.14,4,12.346192
-0.99,6,12.366299
1.13,5,12.377027
1.33,8,12.401067
-0.8,6,12.414939
1.29,6,12.433205
1.19,5,12.444819
-0.97,4,12.457855
1.14,4,12.468523
-0.86,5,12.484207
1.19,5,12.495153
1.28,7,12.516549
1.24,6,12.534985
1.39,10,12.564555
1.24,6,12.57881
1.14,4,12.59131
-0.97,4,12.604241
1.18,6,12.62118
1.29,6,12.637079
1.19,5,12.650702
-0.91,4,12.662623
1.19,5,12.677327
1.14,4,12.688952
-0.81,5,12.703792
1.19,5,12.717828
1.14,4,12.728255
-0.92,5,13.382354
1.34,7,13.397798
1.14,4,13.410391
1.14,4,13.422401
1.14,4,13.433978
-0.72,7,13.45485
1.14,4,13.467214
1.19,5,13.482647
1.14,4,13.492279
-0.81,6,13.511538
1.14,4,13.521266
1.41,8,13.541202
1.14,4,13.552151
-0.82,6,13.571667
-0.81,5,13.586127
-0.91,4,13.599033
1.13,5,13.610924
1.14,4,13.6227
-0.81,5,13.63849
-0.86,4,13.650204
-0.66,7,13.669546
1.29,6,13.685364
1.33,8,13.709709
1.14,4,13.722007
-0.86,4,13.735042
1.26,6,13.753911
1.14,4,13.764708
1.19,5,13.780101
1.14,4,13.791757
1.19,5,13.804856
1.23,7,13.822477
-0.88,7,13.840827
-0.91,4,13.852803
-0.92,5,13.868864
1.19,5,13.884708
1.19,5,13.900161
1.14,4,13.910903
1.3,7,13.93314
1.14,4,13.944177
1.19,5,13.956886
1.19,5,13.970678
-0.86,5,13.985237
1.14,4,13.995661
1.14,4,14.007003
1.14,4,14.01894
-0.86,5,14.034364
1.14,4,14.044264
1.13,5,14.055717
1.22,7,14.076184
-0.82,6,14.090913
-0.77,7,14.111009
-0.9,5,14.12798
-0.72,7,14.146903
-0.87,5,14.158823
-0.86,4,14.1733
-0.91,4,14.239668
-0.91,4,14.250806
1.23,7,14.272383
-0.87,6,14.288508
1.18,6,14.305825
1.14,4,14.31711
1.24,6,14.332929
1.29,6,14.351599
1.14,4,14.363483
-0.82,6,14.376212
-0.76,6,14.394435
1.19,5,14.409324
-0.94,7,14.433922
-0.85,6,14.454087
1.14,4,14.466273
1.14,4,14.477512
1.14,4,14.489599
1.19,5,14.504729
-0.87,6,14.52437
-0.75,10,14.554385
1.14,4,14.566033
1.14,4,14.577413
1.39,8,14.602479
1.19,5,14.616837
1.14,4,14.628129
-0.77,7,14.650874
-0.81,5,14.66648
1.34,7,14.687437
-0.81,5,14.703674
1.19,5,14.716272
1.14,4,14.725272
-0.82,6,14.740541
-0.71,6,14.758771
1.14,4,14.770246
1.19,5,14.783448
1.14,4,14.794211
1.19,5,14.806812
1.21,5,14.819662
1.39,8,14.842639
-0.92,5,14.858957
1.24,6,14.874658
1.19,5,14.889611
1.13,5,14.904778
1.14,4,14.916198
1.14,4,14.926295
1.19,5,14.940905
1.19,5,14.955814
-1.0,7,14.975904
1.28,7,14.997065
-0.67,7,15.013351
1.14,4,15.025165
1.14,4,15.035016
1.24,6,15.052818
-0.86,4,15.065384
-0.81,5,15.081575
1.24,6,15.100741
1.14,4,15.111833
1.32,9,15.138104
-0.76,6,15.156398
-0.98,5,15.172483
1.19,5,15.187078
1.14,4,15.199335
1.45,10,15.228326
1.19,5,15.242246
-0.82,6,15.261458
1.18,6,15.279969
1.14,4,15.291802
1.44,8,15.316124
1.34,7,15.336849
-0.77,7,15.359768
1.19,5,15.372706
1.19,5,15.385288
1.14,4,15.39556
-0.64,7,15.416849
1.14,4,15.427557
-0.66,7,15.449225
-0.66,7,15.469664
1.19,5,15.483808
-0.81,6,15.503011
1.14,4,15.513065
1.18,6,15.530928
1.14,4,15.540766
1.14,4,15.551102
1.14,4,15.562161
1.18,7,15.584117
1.19,5,15.598884
-0.93,6,15.619051
-0.93,6,15.636624
-0.72,7,15.660521
1.14,4,15.670181
1.24,6,15.686144
1.14,4,15.697343
1.14,4,15.708168
-0.91,4,15.718721
-0.82,6,15.737297
1.14,4,15.747587
1.13,5,15.76148
-0.71,7,15.778956
1.18,6,15.797311
-0.77,7,15.819432
-0.76,6,15.83619
-0.86,4,15.847472
-0.66,7,15.867368
1.14,4,15.87767
-0.91,4,15.889601
-0.71,7,15.908121
1.14,4,15.92011
1.29,6,15.938571
1.14,4,15.951702
1.14,4,15.963278
1.14,4,15.975162
1.14,4,15.986715
1.14,4,15.998282
-0.86,4,16.010195
-0.83,7,16.028505
1.19,5,16.0444
1.14,4,16.056036
1.14,4,16.066978
-0.81,5,16.083064
1.19,5,16.097449
-0.86,4,16.109251
1.14,4,16.121348
1.13,5,16.136173
-0.91,4,16.149411
1.14,4,16.160306
1.14,4,16.169577
1.14,4,16.178034
1.14,4,16.190246
-0.61,8,16.215681
1.14,4,16.224689
-0.66,7,16.242465
-0.76,5,16.255177
1.14,4,16.26701
1.19,5,16.282252
1.19,5,16.297761
-0.92,5,16.31282
1.14,4,16.32458
1.14,4,16.336603
-0.76,6,16.355756
-0.71,7,16.378218
-0.76,6,16.398381
-0.87,5,16.41413
-0.76,6,16.433105
1.14,4,16.444567
1.14,4,16.455892
1.19,5,16.470522
1.19,5,16.484687
-0.91,4,16.494701
1.18,6,16.511726
1.14,4,16.523236
1.33,8,16.544264
-0.66,8,16.565532
1.14,4,16.576244
-0.95,8,16.600217
-0.81,5,16.613966
1.14,4,16.625224
-0.61,8,16.650916
1.19,5,16.665253
1.14,4,16.675873
-0.82,6,16.691064
-0.81,5,16.70759
1.14,4,16.720323
1.19,5,16.733758
1.19,5,16.745619
1.14,4,16.754034
-0.92,5,16.76731
1.33,8,16.792554
1.14,4,16.803951
-0.74,9,16.829237
1.14,4,16.83731
1.2,6,16.854866
1.14,4,16.867179
1.14,4,16.87659
1.23,7,16.897061
1.14,4,16.907511
-0.56,8,16.931588
-0.93,6,16.946739
-0.66,7,16.968159
-0.86,4,16.979065
1.18,6,16.997665
-0.86,5,17.010563
1.14,4,17.020419
1.13,5,17.033034
-0.81,5,17.087428
-0.78,7,17.115468
1.18,6,17.13126
1.19,5,17.143071
-0.86,5,17.155886
1.19,5,17.170384
1.19,5,17.183645
1.14,4,17.194745
-0.86,5,17.210448
1.18,6,17.228158
1.14,4,17.239825
1.14,4,17.251679
1.14,4,17.263555
1.19,5,17.278194
